Datum,Tagesabschnitt,Uhrzeit,Protokollnummer,Ort,Gruppe,Temperatur,Bedeckung,Wind,Schneelage,Sonneneinstrahlung,Kohlmeise_number,Kohlmeise_scan,Blaumeise_number,Blaumeise_scan,Sumpfmeise_number,Sumpfmeise_scan,Tannenmeise_number,Tannenmeise_scan,Haubenmeise_number,Haubenmeise_scan,Gimpel_number,Gimpel_scan,Goldammer_number,Goldammer_scan,Erlenzeisig_number,Erlenzeisig_scan,Haussperling_number,Haussperling_scan,Kleiber_number,Kleiber_scan,Amsel_number,Amsel_scan,Rotkehlchen_number,Rotkehlchen_scan,Stieglitz_number,Stieglitz_scan,Buchfink_number,Buchfink_scan,Zaunkönig_number,Zaunkönig_scan,Buntspecht_number,Buntspecht_scan,Bergfink_number,Bergfink_scan,Grünfink_number,Grünfink_scan,Bachstelze_number,Bachstelze_scan,Kommentar,All_Individuen_number,All_Individuen_scan
10.02.2023,Früh,08:10,,See,1,0,klar,windstill,liegt,nein,14,1,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,38,1
13.02.2023,Früh,08:10,,See,1,-3.5,klar,windstill,liegt,nein,8,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,15,0
14.02.2023,Früh,08:10,,See,1,-4.5,klar,windstill,liegt,nein,20,1,11,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37,2
09.02.2023,Früh,08:10,,See,2,-14,klar,windstill,liegt,nein,33,2,42,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90,3
08.02.2023,Früh,08:10,,See,3,-10,klar,windstill,liegt,nein,60,2,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,88,2
11.02.2023,Früh,08:10,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,28,1,50,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,92,5
22.02.2023,Früh,08:10,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,5,2
21.02.2023,Früh,08:10,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0
18.02.2023,Früh,08:10,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interaktionen 8,4,0
23.02.2023,Früh,08:10,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,Interaktikon 5,17,6
